date,GPP_med,GPP_mean,GPP_std,GPP_cnt,GPP_max,GPP_min
NA,NA,NA,NA,NA,NA,NA
2001081,653.472264,633.0095292,86.0032523,5531,779,182
2001097,965.4968298,948.0675569,109.4582007,5531,1159,331
2001113,1395.4604922,1357.1815576,141.7365832,5531,1564,480
2001129,1317.4563013,1286.021621,122.1811411,5531,1436,436
2001145,1289.523897,1261.3397081,114.3553861,5531,1402,526
2001161,1273.7245605,1250.6518068,112.7475869,5531,1427,504
2001177,1269.5444879,1242.6243292,110.8180603,5531,1408,458
2001193,1293.528814,1270.4725033,111.011406,5531,1440,481
2001209,1261.5087221000001,1233.0831469,108.6426306,5531,1413,473
2001225,1285.3063868,1256.4579347,109.5867784,5531,1432,570
2001241,1117.3571165,1089.4545124,99.3476659,5531,1198,440
2001257,1077.3347319,1048.7613297,103.2464243,5531,1191,381
2001273,737.4200793,728.0998824,76.0886103,5531,927,281
2001289,473.5349035,479.9114441,67.7566557,5531,723,189
2001305,314.4178416,331.1118877,64.0484854,5531,572,131
2001321,276.4985422,288.7097664,55.8135172,5531,494,107
2001337,178.4218971,189.79476880000001,45.9691179,5531,366,72
2001353,58,65.7072123,25.7071929,5531,168,17
2002001,79,86.7238378,30.9830961,5531,195,21
2002017,212.4468432,225.808304,61.5263503,5531,450,75
2002033,174.4648745,186.4010425,45.0187821,5531,362,71
2002049,174.4374578,190.1817682,46.0108052,5531,370,73
2002065,374.3933937,383.3993984,63.4966946,5531,599,105
2002081,753.577294,735.9942938,93.9492577,5531,934,216
2002097,873.5834061,862.4819992,97.0897904,5531,1069,303
2002113,1301.5021535,1261.1008733,135.876299,5531,1428,410
2002129,1499.5988393,1462.11794,155.8219792,5531,1658,495
2002145,1259.4532919,1251.3925446,138.234926,5531,1579,497
2002161,905.6173959,925.1643334,121.5055492,5531,1327,555
2002177,969.4982395,988.2091982,104.3552609,5531,1327,636
2002193,1025.4621381,1013.7942035,87.5489083,5531,1198,513
2002209,993.4856623,1024.5952416,126.2680691,5531,1412,585
2002225,961.4287473,960.4833674,85.6635083,5531,1170,430
2002241,1273.5366003,1243.2723739,112.6393758,5531,1378,454
2002257,921.4350374,899.0055849,91.0327564,5531,1007,328
2002273,712.49977,696.7686232,68.3639982,5531,805,302
2002289,572.5164197,553.3885357,67.9354217,5531,658,207
2002305,294.5005548,296.3536703,43.1465362,5531,455,124
2002321,192.4965378,203.8797336,41.788557,5531,380,100
2002337,102,109.2127539,26.2125975,5531,204,41
2002353,128,136.0543012,32.4525137,5531,246,47
2003001,132,141.1665265,35.4244376,5531,287,57
2003017,38,41.6646022,11.9568761,5531,95,16
2003033,134,142.4805643,31.8338651,5531,271,58
2003049,228.517113,242.0074496,50.850791,5531,435,95
2003065,437.3653984,437.8624959,65.6457243,5531,694,158
2003081,853.6406575,827.2101473,105.0858438,5531,1039,294
2003097,1049.5522579,1018.4130698,117.6314467,5531,1154,318
2003113,1515.4358469,1465.5657263,161.8406232,5531,1637,459
2003129,1379.4830426,1342.1411058,148.2542931,5531,1496,425
2003145,1651.8240514,1598.072585,176.4140451,5531,1765,513
2003161,1489.5933994,1451.0249355,136.5570202,5531,1596,625
2003177,1525.5768528,1489.8239309,128.9392167,5531,1655,674
2003193,1627.7181286,1583.6016599,153.3729816,5531,1751,586
2003209,1493.3114213,1453.3413565,137.8272618,5531,1591,607
2003225,1425.4824843,1395.811761,115.991654,5531,1550,630
2003241,1173.4902676,1146.4180121,106.8200099,5531,1270,446
2003257,1193.42164,1167.7630674,105.942201,5531,1302,484
2003273,885.5065454,862.6382481,86.2440103,5531,990,355
2003289,701.552383,690.5341334,78.1467546,5531,897,303
2003305,312.5798743,321.1681755,50.6241412,5531,506,162
2003321,248.511763,263.8889656,54.4411464,5531,446,116
2003337,132,140.9964614,32.1861318,5531,263,62
2003353,116,125.138751,29.9177821,5531,244,52
2004001,106,114.8258466,28.3200198,5531,225,46
2004017,50,56.4878082,20.0737198,5531,135,19
2004033,162,171.785314,39.6979102,5531,328,73
2004049,252.4005627,268.8615277,59.6521474,5531,499,97
