date,tmean_med,tmean_mean,tmean_std,tmean_cnt,tmean_max,tmean_min
19811027,14.769001,14.818864,0.0892909,8,14.9850006,14.7220011
19811028,16.3190002,16.3277647,0.1884358,8,16.7020016,16.0869999
19811029,16.2650013,16.2649996,0.1185214,8,16.5320015,16.1620007
19811030,13.5910006,13.5939504,0.0583619,8,13.684001,13.5350008
19811031,11.2610006,11.3087165,0.1613223,8,11.6530008,11.1350002
19811101,12.111001,12.1076167,0.1705581,8,12.3410006,11.8410006
19811102,12.4590006,12.4781958,0.0803897,8,12.6300011,12.3580008
19811103,15.8860006,15.8739424,0.0299824,8,15.9220009,15.8340006
19811104,16.7260017,16.697398,0.050995,8,16.7960014,16.6160011
19811105,17.368,17.3512304,0.0899454,8,17.4900017,17.2049999
19811106,16.0300007,16.0004611,0.1057669,8,16.1459999,15.8570004
19811107,12.4810009,12.5216801,0.1009863,8,12.7280006,12.4380007
19811108,7.4270005,7.4191014,0.0677403,8,7.5530005,7.3160005
19811109,10.2000008,10.1023073,0.4251726,8,10.6240005,9.2450008
19811110,12.9180002,12.8145721,0.4099817,8,13.3160009,11.9780006
19811111,8.4800005,8.4815821,0.09146,8,8.6620007,8.3840008
19811112,9.1430006,9.0311317,0.3435342,8,9.4550009,8.4310007
19811113,6.0560002,6.122462,0.1449612,8,6.4370003,5.9690003
19811114,6.3630004,6.4076076,0.1403813,8,6.6830001,6.2040005
19811115,9.8160009,9.8733625,0.2343725,8,10.3910007,9.625
19811116,11.3080006,11.2201551,0.1369769,8,11.3670006,10.934001
19811117,11.1650009,11.1136287,0.21252,8,11.427001,10.7330008
19811118,10.2590008,10.1981328,0.2458536,8,10.4140005,9.6560001
19811119,10.4530001,10.4475845,0.0638896,8,10.592001,10.3850002
19811120,14.2560005,14.2081843,0.664802,8,15.0950003,12.9650002
19811121,11.7380009,11.7141479,0.1057142,8,11.8310003,11.4750004
19811122,1.9030001,1.8645264,0.068287,8,1.955,1.756
19811123,1.3230001,1.3081098,0.0356281,8,1.401,1.281
19811124,2.9920001,2.9439926,0.1970958,8,3.1880002,2.5880001
19811125,2.5040002,2.4710873,0.0328213,8,2.5310001,2.4160001
19811126,4.2590003,4.2578127,0.0790196,8,4.375,4.1130004
19811127,7.4070005,7.3390989,0.2557223,8,7.6680002,6.8870006
19811128,15.375001,15.3717862,0.1912941,8,15.6690006,15.1140003
19811129,8.1059999,8.1538302,0.1139678,8,8.401,8.059
19811130,3.8450003,3.7713,0.1255099,8,3.9330001,3.5330002
19811201,4.0640001,4.0300497,0.1288681,8,4.2680001,3.9290001
19811202,6.7050004,6.6686641,0.2080839,8,6.9960003,6.2560005
19811203,9.4460001,9.4155486,0.130505,8,9.658,9.2060003
19811204,8.0760002,7.9644062,0.1166436,8,8.1350002,7.7620006
19811205,5.0890002,5.0583704,0.1413999,8,5.2670002,4.7900004
19811206,3.3230002,3.3056213,0.0571772,8,3.4490001,3.2430003
19811207,4.1360002,4.1934437,0.2285669,8,4.618,3.9010003
19811208,7.9740005,7.9633016,0.0853638,8,8.0670004,7.8300004
19811209,8.323,8.3057149,0.0804469,8,8.4630003,8.1790009
19811210,0.273,0.2352503,0.0627085,8,0.371,0.148
19811211,-0.716,-0.7458576,0.0476627,8,-0.649,-0.812
19811212,1.023,1.0599737,0.1314814,8,1.296,0.882
19811213,0.8280001,0.7734894,0.1755178,8,1.097,0.495
19811214,2.2060001,2.1458094,0.1476135,8,2.401,1.9170001
19811215,3.0440001,3.1352774,0.4137681,8,3.9090002,2.6700001
