date,GPP_med,GPP_mean,GPP_std,GPP_cnt,GPP_max,GPP_min
2000241,1131.5456284,1061.7393522,168.4740795,101320,1456,105
2000257,1091.5631895,1017.8298681,171.0400917,101320,1390,69
2000273,891.4319986,857.17128,140.4880418,101320,1277,69
2000289,645.470522,636.0193696,114.5350937,101320,1057,67
2000305,333.4355847,346.0305838,73.3893796,101320,603,27
2000321,156.4762071,170.6486861,45.8069804,101320,326,9
2000337,98,108.4531458,33.7432658,101320,220,3
2000353,26,32.3131888,15.1509287,101320,88,0
2001001,88,97.9802458,35.0014901,101320,217,0
2001017,136.5145076,150.8078989,51.1980275,101320,328,0
2001033,172.4907705,186.666049,55.5123373,101320,398,3
2001049,213.4567406,231.5897225,67.2381095,101320,583,4
2001065,329.4781488,334.8991371,81.807876,101320,857,3
2001081,651.5591748,614.2631317,122.6314344,101320,1199,58
2001097,971.5371818,923.2562041,157.2765292,101320,1356,104
2001113,1371.5203642,1289.8247677,217.7320866,101320,1796,132
2001129,1299.5853575,1216.9952918,198.6167255,101320,1732,143
2001145,1283.6133831,1206.2579949,187.2929863,101320,1801,193
2001161,1267.5376846,1203.5798531,176.6428963,101320,1872,191
2001177,1259.5834811,1194.5270638,174.2625319,101320,1814,153
2001193,1299.5568243,1233.8973773,180.0231877,101320,1840,141
2001209,1259.5425791,1192.3988747,176.359971,101320,1781,123
2001225,1283.5433279,1217.2419569,178.5563536,101320,1782,127
2001241,1115.5911675,1046.4661736,173.5828409,101320,1506,90
2001257,1075.6100241,999.2160277,178.9615809,101320,1386,80
2001273,765.5237901,726.7583709,129.4357289,101320,1085,64
2001289,513.5115262,506.2109546,100.6693956,101320,820,40
2001305,337.5167921,351.9086088,85.7525159,101320,653,25
2001321,285.5174764,298.7212772,74.9153798,101320,562,25
2001337,184.5108356,197.4455167,58.3322953,101320,451,18
2001353,61,71.6276579,29.4592305,101320,190,0
2002001,83,91.452903,32.2628019,101081,222,0
2002017,213.4635839,229.8512445,71.2606084,101081,501,0
2002033,178.4913498,193.3725994,57.2976229,101081,442,14
2002049,184.5133587,202.2130543,58.7837462,101081,493,18
2002065,381.4878498,392.2783762,86.3982127,101081,829,24
2002081,755.5185895,722.9806512,126.3920396,101081,1390,73
2002097,891.5844891,854.1729127,131.2135535,101081,1396,122
2002113,1291.5271834,1197.5958687,219.1138632,101081,1682,135
2002129,1491.5291038,1366.5743345,270.4309601,101081,1893,95
2002145,1259.5655812,1203.130757,219.9036464,101081,1849,152
2002161,923.4918697,934.7748481,158.4080832,101081,1545,158
2002177,979.5075188,983.8918389,138.8263047,101081,1629,235
2002193,1035.5343973,988.4606647,141.1456573,101081,1468,171
2002209,1019.4379597,1042.8027054,160.2959804,101081,1736,191
2002225,963.5782681,933.6970441,133.5315321,101081,1437,51
2002241,1267.6319276,1182.1614507,188.4359559,101081,1723,112
2002257,923.4893679,861.6692309,154.1022467,101081,1235,83
2002273,741.5532767,695.1661059,121.343135,101081,1028,76
2002289,593.5358755,557.4116778,105.4210822,101081,780,39
2002305,308.5217358,306.9712744,59.3293091,101081,506,23
2002321,204.4808856,216.5232283,51.2923708,101081,396,10
2002337,107,116.0477198,31.3058576,101081,227,12
2002353,130.4931236,141.4439501,40.019422,101081,283,14
2003001,130.4960806,142.7826008,43.0974686,101081,297,1
2003017,39,44.293003,14.5183308,101081,99,0
2003033,136.4849057,147.7187492,40.7585122,101081,303,4
2003049,233.4752265,248.149491,65.4318707,101081,531,5
2003065,429.4778091,425.7868179,89.2318108,101081,887,35
2003081,835.5541433,784.1467778,143.5229345,101081,1472,78
2003097,1027.5886919,958.4669264,171.7415526,101081,1386,98
2003113,1491.5597775,1388.7519606,267.1536544,101081,1846,131
2003129,1355.6445488,1256.8544499,254.9375138,101081,1574,127
2003145,1603.4567592,1481.9299361,291.3739642,101081,1906,203
2003161,1467.538786,1377.2884565,230.3788958,101081,2032,222
2003177,1515.5320766,1425.6423368,215.2327601,101081,2044,211
2003193,1619.633824,1517.2162689,250.0186293,101081,2229,189
2003209,1475.6540665,1383.4138541,235.7856029,101081,2000,160
2003225,1427.5626896,1341.6743918,202.1486887,101081,1944,145
2003241,1171.4965541,1096.5854923,184.9077386,101081,1568,103
2003257,1203.6348228,1119.3760014,190.1261027,101081,1620,101
2003273,899.5970494,835.4282328,153.4391012,101081,1181,67
2003289,721.5015507,684.9848664,122.6764252,101081,1038,52
2003305,325.4769698,332.4476127,65.6596795,101081,687,26
2003321,258.5002238,275.8268087,68.9969019,101081,508,26
2003337,132.4811706,144.6221567,39.2070178,101081,283,16
2003353,118.4897984,128.2814317,36.2174124,101081,290,11
