date,stage_cm,discharge_m3s,notes
1969-07-30,38.13694022,0.249502002185519,NA
1969-07-31,39.79592123,0.2870923628556361,NA
1969-08-01,40.44357231,0.3027806070786393,NA
1969-08-03,38.33559932,0.2538111113001738,NA
1969-08-04,40.45198215,0.3029881585744729,NA
1969-08-05,39.72088677,0.2853122006810665,NA
1969-08-06,38.53145514,0.2581098975967898,NA
1969-08-08,37.25297264,0.23094415781884708,NA
1969-08-09,35.51521947,0.19730208234168584,NA
1969-08-12,33.04543649,0.15558380094335716,NA
1969-08-14,30.84934707,0.12403227914695751,NA
1969-08-16,28.92882005,0.10035353233444079,NA
1969-08-18,28.29238209,0.09325918673251152,NA
1969-08-20,29.40117271,0.10585584380552614,NA
1969-08-20,31.05828486,0.12682247577684228,NA
1969-08-22,30.23907305,0.11612767621735831,NA
1969-08-24,29.14242998,0.10281648745426233,NA
1969-08-25,28.41413787,0.09458845206803836,NA
1969-08-26,25.66131707,0.06760555153262426,NA
1969-08-27,24.10353447,0.05499757096781956,NA
1969-08-29,23.65360805,0.051686030503500915,NA
1969-08-31,23.66201789,0.051746619907572435,NA
1969-09-04,25.05291191,0.06246519534849243,NA
1969-09-05,24.0490574,0.054588964373394354,NA
1969-09-07,24.69670848,0.05958559854755589,NA
1969-09-08,23.23171444,0.04870943057959657,NA
1969-09-11,23.33665055,0.04943832229028506,NA
1969-09-15,22.526782999999998,0.04400569411981758,NA
1969-09-17,24.09577873,0.05493926922543409,NA
1969-09-18,52.94171514,0.7354659110045881,NA
1969-09-19,83.16826687,3.258803542574288,above RC
1969-09-20,45.50993996,0.44674340462115053,NA
1969-09-21,39.63501297,0.28328433154550553,NA
1969-09-22,26.68825192,0.07693891603779905,NA
1969-09-25,25.59628098,0.0670424977647585,NA
1969-09-26,24.13035251,0.05519950072107637,NA
1969-09-27,20.64363305,0.033003232441584894,NA
1969-09-28,22.2098255,0.04199781113335798,NA
1969-09-30,23.96252949,0.0539443138106077,NA
1969-10-01,22.86588642,0.04622688604504266,NA
1969-10-03,21.67832364,0.03877546756558843,NA
1969-10-05,20.58354942,0.03268770953503438,NA
1969-10-07,20.3182657,0.03131968451393038,NA
1969-10-11,20.51785923,0.032345155583449955,NA
1969-10-14,20.89835775,0.03436448222720354,NA
1969-10-19,21.46723667,0.03754495002538444,NA
1969-10-23,21.02385124,0.035049285445291394,NA
1969-10-27,20.67512323,0.0331694441847908,NA
1969-10-31,19.95337211,0.029503845661061984,NA
1969-11-02,19.22975214,0.02612197292796404,NA
1969-11-04,20.33854276,0.031422815482353345,NA
1969-11-06,21.35828252,0.03692057847700107,NA
1969-11-09,20.17539188,0.030599688065551273,NA
1969-11-12,20.92050366,0.0344846464837426,NA
1969-11-15,21.75933843,0.03925510561523071,NA
1969-11-18,22.5981732,0.044466994045089685,NA
1969-11-19,23.70416053,0.052050985478904334,NA
1969-11-21,25.1841054,0.06354976321377195,NA
1969-11-22,27.85254748,0.08856564823242886,NA
1969-11-23,32.7245544,0.15065992788818217,NA
1969-11-24,34.19795828,0.17419430431085595,NA
1969-11-25,37.69215315,0.24003935837096765,NA
1969-11-26,33.83801715,0.16822441429365967,NA
1969-11-27,28.14773285,0.09169696170374361,NA
1969-11-28,26.4071764,0.07430047892264562,NA
1969-11-29,25.67421216,0.0677175815019845,NA
1969-12-01,23.93552456,0.053744212425428366,NA
1969-12-04,24.22323452,0.05590285940551878,NA
1969-12-08,24.88303315,0.06108006291936918,NA
1969-12-14,25.6412269,0.06743126949609862,NA
1969-12-18,25.93267456,0.06999042229724502,NA
1969-12-19,27.2233046,0.08214060378701762,NA
1969-12-20,30.16730908,0.11522184735604248,NA
1969-12-21,31.4570047,0.1322678874461226,NA
1969-12-23,31.28170626,0.12985414586763613,NA
1969-12-24,30.73712243,0.12255140402819457,NA
1969-12-27,30.19440746,0.11556331162523013,NA
1969-12-28,28.73034784,0.09810222876629751,NA
1969-12-30,27.26815708,0.08258747316360794,NA
1970-01-02,25.16672507,0.06340533325776262,NA
1970-01-03,24.71119209,0.05970084493441967,NA
1970-01-04,25.26792347,0.06424950753934965,NA
1970-01-06,27.29618988,0.08286762483786551,NA
1970-01-08,28.86705445,0.09964909910609397,NA
1970-01-09,30.15581564,0.11507723204284509,NA
1970-01-10,36.40563459,0.21407928206219703,NA
1970-01-11,47.52465718,0.5153003570632769,NA
1970-01-12,62.68713061,1.2835325260287669,NA
1970-01-13,35.96131474,0.20558820296053837,NA
1970-01-14,60.39918705,1.1355054334863135,NA
1970-01-15,73.35435793,2.1544406553368978,NA
1970-01-16,85.94211227,3.6309262896772965,above RC
1970-01-17,68.03522788,1.6810832131788813,NA
1970-01-18,57.38108253,0.9589981625162243,NA
1970-01-19,45.44378256,0.4446066167804447,NA
1970-01-20,34.14852711,0.17336584751638093,NA
1970-01-21,27.90711799,0.08913882790763399,NA
1970-01-22,26.90326348,0.07900075785488228,NA
1970-01-25,25.71943841,0.06811152030788918,NA
1970-01-27,27.01380615,0.08007563625490964,NA
1970-01-28,27.84516551,0.08848830960565922,NA
1970-01-29,45.76045974,0.4548996803450882,NA
1970-01-30,68.63681174,1.730572358065887,NA
1970-01-31,108.598033,7.850899878046398,above RC
1970-02-01,91.33319317,4.437109135111343,above RC
1970-02-02,67.45485551,1.6342816579961659,NA
1970-02-03,55.60754082,0.8647287398500828,NA
1970-02-04,48.26294765,0.5421570134865081,NA
1970-02-05,35.59361787,0.1987411473357621,NA
1970-02-06,55.71434578,0.8702146765751891,NA
1970-02-07,75.3748686,2.356278772856129,NA
1970-02-08,52.23229846,0.7034821849756254,NA
1970-02-09,36.06783937,0.207602134407064,NA
1970-02-10,35.52232112,0.19743213883533006,NA
1970-02-11,36.44460018,0.21483537766379915,NA
1970-02-12,38.28448618,0.2526975040241696,NA
1970-02-13,45.2682038,0.43897021167987366,NA
1970-02-14,67.22601444,1.6160799749668597,NA
1970-02-15,78.43689116,2.686723317627565,NA
1970-02-16,72.56196416,2.0786854955612015,NA
1970-02-17,58.14460252,1.001699960970849,NA
1970-02-18,41.43088747,0.3278311898170444,NA
1970-02-19,38.03508772,0.2473126082484556,NA
1970-02-20,35.74340645,0.20151093803195383,NA
1970-02-21,43.738453989999996,0.39194926976092803,NA
1970-02-22,68.17819515,1.6927538668334825,NA
1970-02-23,60.64802486,1.1509965621289033,NA
1970-02-24,41.08776602,0.3189678711844758,NA
1970-02-25,35.94767211,0.20533126544146324,NA
1970-02-26,36.32069521,0.21243753007046112,NA
1970-02-27,39.9058098,0.2897133660390624,NA
1970-02-28,41.74849908,0.33618713992423105,NA
1970-03-01,58.37596655,1.014896576404212,NA
1970-03-02,71.14929801,1.9482658188186692,NA
1970-03-03,75.56109982,2.375520311369479,NA
1970-03-04,75.2920784,2.3477597984040774,NA
1970-03-05,73.27502511,2.146770958354808,NA
1970-03-06,68.1349312,1.6892162235628028,NA
1970-03-07,60.6047609,1.1482927039876463,NA
1970-03-08,42.05489756,0.3443875892515723,NA
1970-03-09,50.97035532,0.6490037997903498,NA
1970-03-10,68.05802789,1.6829406471757071,NA
1970-03-11,87.16742589,3.8043497172880674,above RC
1970-03-12,98.28644848,5.650925614036086,above RC
1970-03-13,85.15784802,3.522863881281437,above RC
1970-03-14,81.11720046,3.0013499097581726,NA
1970-03-15,76.80566263,2.506929289189113,NA
1970-03-16,72.76781835,2.098184349890293,NA
1970-03-17,67.16845376,1.6115240094014585,NA
1970-03-18,62.76319294,1.2886724751707315,NA
1970-03-19,52.75389539,0.7269016033821304,NA
1970-03-20,43.48036536,0.3843783760477914,NA
1970-03-21,38.43399444,0.25596447274059686,NA
1970-03-22,35.68210807,0.20037422074261727,NA
1970-03-23,41.19709393,0.3217736107846223,NA
1970-03-24,60.67390847,1.1526163229437454,NA
1970-03-25,85.57198589,3.5796438002775477,above RC
1970-03-26,73.35912351,2.1549019863977765,NA
1970-03-27,54.9011143,0.8290487556902874,NA
1970-03-28,42.59452893,0.35916740891950893,NA
1970-03-29,38.83224706,0.2648102656219849,NA
1970-03-30,37.73373514,0.24091321983594702,NA
1970-03-31,36.3596608,0.21318958405371227,NA
1970-04-01,35.26021445,0.19267146668185195,NA
1970-04-03,34.90120775,0.18628136342297066,NA
